ID Name	V	pi_HST	e_HST	pi_Gaia	e_Gaia	pi_Hip	e_hip
5	FFAql	5.36	2.81	0.18	1.64	0.89	2.11	0.33	
12	VYPyx	7.25	6.44	0.23	3.85	0.28	5.01	0.44	
13	RZCep	9.53	2.12	0.16	2.65	0.24	0.59	1.48	
14	XZCyg	9.69	1.67	0.17	1.56	0.23	2.29	0.84	
15	SUDra	9.84	1.42	0.16	1.43	0.28	0.2	1.13	
16	RRLyr	7.88	3.77	0.13	3.64	0.23	3.46	0.64	
17	UVOct	9.45	1.71	0.10	2.02	0.23	2.44	0.81	
20	vA310	10.04	20.13	0.17	21.76	0.41	19.31	1.93	
21	vA472	9.05	21.70	0.15	20.88	0.24	21.86	1.72	
22	vA645	11.27	17.46	0.21	22.02	0.25	19.12	5.45	
25	vA383	12.20	21.53	0.20	20.99	0.36	cdots	cdots	
28	P3179	10.05	7.45	0.16	8.29	0.88	cdots	cdots	
55	Feige24	12.65	14.60	0.40	13.06	0.76	10.9	3.94	
60	V603Aql	11.76	4.01	0.14	2.92	0.54	4.96	2.45	
62	RRPic	12.11	1.92	0.18	2.45	0.44	-4.63	1.94	
70	SSCyg	11.64	7.30	0.20	8.56	0.33	cdots	cdots	
70A	SSCyg	11.64	8.30	0.41	8.56	0.33	cdots	cdots	
82	HIP87062	10.67	8.94	0.11	8.38	0.86	9.59	2.21	
83	HIP87788	11.72	10.73	0.13	10.97	0.26	10.01	2.79	
84	HIP98492	11.47	3.45	0.14	2.48	0.37	9.78	2.77	
85	HIP103269	10.33	14.12	0.10	13.76	0.22	14.86	1.31	
92	HD47536	5.26	8.71	0.16	7.95	0.57	8.11	0.23	
96	HD136118	6.95	19.12	0.22	19.22	0.27	21.47	0.54	
97	HD33636	6.99	35.60	0.20	33.96	0.82	35.25	1.02	
98	XO-3	9.86	5.67	0.14	4.96	0.35	cdots	cdots	
99	HD202206	8.08	22.98	0.13	21.94	0.26	22.06	0.82	
101	HD132475	8.55	10.18	0.21	10.62	0.24	10.23	0.84	
102	HD140283	7.21	17.18	0.26	15.96	0.43	17.16	0.68	
