Name,Period,Type,id_compare,mag_3p6,err_3p6,amp_3p6,mag_4p5,err_4p5,amp_4p5,rad,HIP,TYC2,SolID,Source,RandomI,Epoch,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RADEcor,RAPlxcor,RApmRAcor,RApmDEcor,DEPlxcor,DEpmRAcor,DEpmDEcor,PlxpmRAcor,PlxpmDEcor,pmRApmDEcor,NAL,NAC,NgAL,NgAC,NbAL,NbAC,DQ,epsi,sepsi,APF,ARF,WAL,WAC,Apr,MatchObs,Dup,sK1,sK2,sK3,sK4,mK1,mK2,mK3,mK4,o_<Gmag>,<FG>,e_<FG>,<Gmag>,Var,GLON,GLAT,ELON,ELAT,A_3p6,A_4p5,Z,log_P,log_P_f
ABUma,0.6,ab,abuma,9.598,0.003,0.171,9.587,0.003,0.177,0.0058,59411.0,,1635378410781933568,1546016668386865792,1004237,2015.0,182.810685233,0.149,47.8287625932,0.168,0.93,0.27,-16.57,0.144,-16.605,0.111,0.325,0.024,0.054,0.002,0.078,0.025,-0.005,-0.004,-0.096,-0.026,97,97,97,92,0,5,3.34,0.45,240.0,1,4.5,4.517,3.13e-05,3,13,1,0.276,0.346,0.227,0.496,158.17389,-58.080616,29.1546,9.267754,105,825719.58875,7685.3702,10.733,,141.042098756,67.8614130707,158.465089619,43.8743572416,0.005,0.004,-0.49,-0.221848749616,-0.221848749616
AMTuc,0.406,c,amtuc,10.602,0.002,0.127,10.565,0.002,0.142,0.0095,6115.0,,1635378410781933568,4692528057537147136,1393825,2015.0,19.6279725728,0.265,-67.9181611997,0.196,0.85,0.26,24.031,0.143,-27.912,0.138,0.073,0.009,-0.113,-0.012,-0.373,0.005,-0.002,-0.048,-0.163,-0.059,101,101,101,94,0,7,0.75,0.67,460.0,1,6.56,2.184,4.14e-05,3,17,0,0.077,0.375,0.198,0.079,-148.21443,-5.3073645,-41.056553,-17.344803,124,392894.98764,4741.6375,11.539,,299.059083464,-49.005999982,324.481498907,-64.2125266195,0.004,0.004,-1.49,-0.391473966423,-0.264473966423
ANSer,0.522,ab,anser,9.801,0.004,0.289,9.795,0.004,0.299,0.0026,77830.0,,1635378410781933568,1191509999055192960,619871,2015.0,238.379389573,0.194,12.9611045994,0.111,0.77,0.29,0.224,0.192,-9.112,0.134,0.298,-0.572,0.07,0.023,-0.215,0.003,-0.045,-0.077,-0.104,-0.068,154,154,153,150,1,4,1.84,0.52,600.0,1,5.11,3.298,3.1e-05,3,24,1,0.263,0.446,0.247,0.588,-98.78794,-14.104458,-9.990429,-19.213884,212,654637.72485,10730.71765,10.985,,23.8026921869,45.2321033075,232.759715244,32.4032240414,0.007,0.006,-0.07,-0.282329496998,-0.282329496998
AVPeg,0.39,ab,avpeg,9.332,0.004,0.281,9.329,0.004,0.281,0.0042,107935.0,,1635378410781933568,1793460110951463424,1471347,2015.0,328.011708075,0.199,22.5747913984,0.202,1.53,0.23,14.161,0.177,-8.437,0.132,0.135,0.131,-0.077,-0.007,0.052,-0.027,0.031,-0.191,-0.002,0.048,78,78,76,77,2,1,0.13,0.39,160.0,1,3.87,6.106,2.66e-05,3,10,0,0.123,0.053,0.135,0.803,-41.546333,-37.48416,-10.551113,30.296535,85,1103026.09251,29572.87476,10.418,,77.4430124771,-24.0536906904,339.290109612,33.1468293028,0.013,0.011,-0.08,-0.408935392974,-0.408935392974
BHPeg,0.641,ab,bhpeg,9.002,0.003,0.237,8.982,0.003,0.236,0.0169,112994.0,,1635378410781933568,2828497064068310784,1634489,2015.0,343.254215073,0.198,15.7876823287,0.13,1.4,0.22,-24.403,0.202,-63.491,0.126,0.17,0.181,-0.089,-0.118,-0.133,-0.068,0.038,-0.231,-0.1,0.26,110,110,109,107,1,3,0.41,0.29,120.0,1,2.96,10.206,2.68e-05,3,13,0,0.367,0.486,0.324,0.201,163.61736,-12.309497,41.082428,31.870094,104,1159717.01747,14555.13569,10.364,,85.6145887125,-38.3561820497,350.987445375,21.0945894398,0.015,0.012,-1.22,-0.193141970481,-0.193141970481
BXLeo,0.363,c,bxleo,10.678,0.002,0.107,10.67,0.002,0.122,0.008,56742.0,,1635378410781933568,3972712532526824448,1098570,2015.0,174.508477934,0.222,16.5433304023,0.16,0.53,0.28,-26.982,0.237,-13.689,0.166,-0.384,0.264,-0.027,0.079,-0.265,0.075,-0.063,0.275,-0.248,-0.469,72,72,72,70,0,2,1.19,0.46,160.0,1,4.57,4.507,3.04e-05,3,8,0,0.267,0.446,0.367,0.417,-15.074719,18.990246,-3.4723566,-15.991236,70,416236.08748,5720.86812,11.476,,241.078444764,69.9840656012,168.310155515,12.9883803322,0.005,0.004,-1.28,-0.440093374964,-0.313093374964
CSEri,0.311,c,cseri,8.126,0.002,0.117,8.11,0.002,0.117,0.024,12199.0,,1635378410781933568,4947090013255935616,1248233,2015.0,39.2745394351,0.15,-42.9633109894,0.181,2.16,0.23,95.588,0.106,7.781,0.116,-0.196,0.01,-0.017,-0.012,-0.195,-0.012,0.035,-0.006,-0.144,-0.262,191,191,191,188,0,3,4.79,0.52,400.0,1,5.1,3.579,2.17e-05,3,24,0,0.388,0.252,0.189,0.415,-114.707184,66.63448,-29.22298,44.986927,193,4172558.06765,47371.36513,8.974,,256.317811979,-63.3871428137,15.2013107519,-54.0531467509,0.004,0.003,-1.41,-0.507239610973,-0.380239610973
DXDel,0.473,ab,dxdel,8.653,0.004,0.249,8.641,0.004,0.258,0.0036,102593.0,,1635378410781933568,1760981190300823808,327366,2015.0,311.868205017,0.188,12.4641079565,0.203,1.66,0.22,13.266,0.145,7.027,0.108,0.018,-0.132,-0.046,-0.022,0.049,-0.023,0.032,-0.168,-0.062,0.239,79,79,79,78,0,1,1.29,0.36,180.0,1,3.62,6.801,2.22e-05,3,9,0,0.164,0.128,0.115,0.875,-66.30956,-75.18178,-10.149738,24.14359,78,1771644.28092,13135.50447,9.904,,58.4697937603,-18.8448858464,318.268455618,29.1602673388,0.024,0.02,-0.39,-0.325138859262,-0.325138859262
HKPup,0.734,ab,hkpup,9.884,0.004,0.252,9.854,0.004,0.257,0.0051,37779.0,,1635378410781933568,3030561875047012352,1647035,2015.0,116.195094746,0.207,-13.098977899,0.159,0.53,0.26,19.271,0.165,-0.45,0.105,-0.118,0.161,-0.025,-0.004,-0.06,-0.002,-0.04,0.096,-0.05,0.051,114,114,114,109,0,5,1.31,0.58,480.0,1,5.7,2.828,3.6e-05,3,13,1,0.324,0.227,0.25,0.235,-74.92117,13.461417,-34.2739,-30.42075,111,505683.53815,6778.87633,11.265,,230.724294755,5.5432487894,121.137118881,-33.749925655,0.064,0.053,-1.11,-0.134303940084,-0.134303940084
MTTel,0.317,c,mttel,8.078,0.002,0.126,8.064,0.002,0.111,0.0454,93476.0,,1635378410781933568,6662886601414152448,563274,2015.0,285.550321537,0.229,-46.6538409427,0.21,1.43,0.31,-138.728,0.105,-115.417,0.064,0.284,-0.624,-0.146,0.049,-0.595,-0.008,0.07,0.038,-0.109,0.131,45,45,45,44,0,1,1.47,0.42,170.0,1,4.21,5.17,3.08e-05,3,5,0,0.596,0.151,0.465,0.811,-144.47804,38.36659,-23.82962,35.74855,45,4282056.12821,66644.82592,8.946,,350.239778673,-21.1173883743,281.605876516,-23.8391171394,0.011,0.009,-1.85,-0.498940737782,-0.371940737782
